"country_iso","year","country_year","gdp_growth","gini"
"AU",1960,"AU-1960",,
"AU",1961,"AU-1961",2.48,
"AU",1962,"AU-1962",1.29,
"AU",1963,"AU-1963",6.22,
"AU",1964,"AU-1964",6.98,
"AU",1965,"AU-1965",5.98,
"AU",1966,"AU-1966",2.38,
"AU",1967,"AU-1967",6.3,
"AU",1968,"AU-1968",5.09,
"AU",1969,"AU-1969",7.05,
"AU",1970,"AU-1970",7.18,
"AU",1971,"AU-1971",4,
"AU",1972,"AU-1972",3.91,
"AU",1973,"AU-1973",2.62,
"AU",1974,"AU-1974",4.11,
"AU",1975,"AU-1975",1.34,
"AU",1976,"AU-1976",2.59,
"AU",1977,"AU-1977",3.59,
"AU",1978,"AU-1978",0.89,
"AU",1979,"AU-1979",4.05,
"AU",1980,"AU-1980",3.04,
"AU",1981,"AU-1981",3.34,31.3
"AU",1982,"AU-1982",3.32,
"AU",1983,"AU-1983",-2.22,
"AU",1984,"AU-1984",4.59,
"AU",1985,"AU-1985",5.28,32.5
"AU",1986,"AU-1986",3.97,32.5
"AU",1987,"AU-1987",2.56,
"AU",1988,"AU-1988",5.76,
"AU",1989,"AU-1989",3.88,33.2
"AU",1990,"AU-1990",3.58,33.2
"AU",1991,"AU-1991",-0.38,
"AU",1992,"AU-1992",0.43,
"AU",1993,"AU-1993",4.05,
"AU",1994,"AU-1994",3.98,
"AU",1995,"AU-1995",3.89,32.6
"AU",1996,"AU-1996",3.86,32.6
"AU",1997,"AU-1997",3.91,
"AU",1998,"AU-1998",4.61,
"AU",1999,"AU-1999",4.96,
"AU",2000,"AU-2000",3.9,
"AU",2001,"AU-2001",2.04,33.5
"AU",2002,"AU-2002",3.99,
"AU",2003,"AU-2003",3.11,33.5
"AU",2004,"AU-2004",4.22,33.1
"AU",2005,"AU-2005",3.15,
"AU",2006,"AU-2006",2.74,
"AU",2007,"AU-2007",3.78,
"AU",2008,"AU-2008",3.57,35.4
"AU",2009,"AU-2009",1.87,
"AU",2010,"AU-2010",2.21,34.7
"AU",2011,"AU-2011",2.39,
"AU",2012,"AU-2012",3.9,
"AU",2013,"AU-2013",2.58,
"AU",2014,"AU-2014",2.58,34.4
"AU",2015,"AU-2015",2.15,
"AU",2016,"AU-2016",2.73,33.7
"AU",2017,"AU-2017",2.28,
"AU",2018,"AU-2018",2.88,34.3
"AU",2019,"AU-2019",2.17,
"AU",2020,"AU-2020",-0.05,
"AU",2021,"AU-2021",2.24,
"BE",1960,"BE-1960",,
"BE",1961,"BE-1961",4.98,
"BE",1962,"BE-1962",5.21,
"BE",1963,"BE-1963",4.35,
"BE",1964,"BE-1964",6.96,
"BE",1965,"BE-1965",3.56,
"BE",1966,"BE-1966",3.16,
"BE",1967,"BE-1967",3.87,
"BE",1968,"BE-1968",4.19,
"BE",1969,"BE-1969",6.63,
"BE",1970,"BE-1970",5.58,
"BE",1971,"BE-1971",3.99,
"BE",1972,"BE-1972",5.3,
"BE",1973,"BE-1973",6.38,
"BE",1974,"BE-1974",4.57,
"BE",1975,"BE-1975",-1.97,
"BE",1976,"BE-1976",5.65,
"BE",1977,"BE-1977",0.63,
"BE",1978,"BE-1978",2.84,
"BE",1979,"BE-1979",2.34,
"BE",1980,"BE-1980",4.44,
"BE",1981,"BE-1981",-0.28,
"BE",1982,"BE-1982",0.59,
"BE",1983,"BE-1983",0.31,
"BE",1984,"BE-1984",2.47,
"BE",1985,"BE-1985",1.65,25.2
"BE",1986,"BE-1986",1.82,25.2
"BE",1987,"BE-1987",2.31,
"BE",1988,"BE-1988",4.72,25.7
"BE",1989,"BE-1989",3.47,
"BE",1990,"BE-1990",3.14,
"BE",1991,"BE-1991",1.83,
"BE",1992,"BE-1992",1.53,25
"BE",1993,"BE-1993",-0.96,
"BE",1994,"BE-1994",3.23,
"BE",1995,"BE-1995",2.38,28.4
"BE",1996,"BE-1996",1.32,27.6
"BE",1997,"BE-1997",3.79,26.8
"BE",1998,"BE-1998",1.96,
"BE",1999,"BE-1999",3.54,
"BE",2000,"BE-2000",3.72,33.1
"BE",2001,"BE-2001",1.1,
"BE",2002,"BE-2002",1.71,
"BE",2003,"BE-2003",1.04,28.1
"BE",2004,"BE-2004",3.57,30.5
"BE",2005,"BE-2005",2.32,29.3
"BE",2006,"BE-2006",2.55,28.1
"BE",2007,"BE-2007",3.68,29.2
"BE",2008,"BE-2008",0.45,28.4
"BE",2009,"BE-2009",-2.02,28.6
"BE",2010,"BE-2010",2.86,28.4
"BE",2011,"BE-2011",1.69,28.1
"BE",2012,"BE-2012",0.74,27.5
"BE",2013,"BE-2013",0.46,27.7
"BE",2014,"BE-2014",1.58,28.1
"BE",2015,"BE-2015",2.04,27.7
"BE",2016,"BE-2016",1.27,27.6
"BE",2017,"BE-2017",1.62,27.4
"BE",2018,"BE-2018",1.79,27.2
"BE",2019,"BE-2019",2.26,27.2
"BE",2020,"BE-2020",-5.36,26
"BE",2021,"BE-2021",6.29,
"CA",1960,"CA-1960",,
"CA",1961,"CA-1961",3.16,
"CA",1962,"CA-1962",7.43,
"CA",1963,"CA-1963",5.35,
"CA",1964,"CA-1964",6.64,
"CA",1965,"CA-1965",6.32,
"CA",1966,"CA-1966",6.7,
"CA",1967,"CA-1967",3.09,
"CA",1968,"CA-1968",5,
"CA",1969,"CA-1969",5.05,
"CA",1970,"CA-1970",,
"CA",1971,"CA-1971",,37.3
"CA",1972,"CA-1972",,
"CA",1973,"CA-1973",,34.9
"CA",1974,"CA-1974",,
"CA",1975,"CA-1975",,34.1
"CA",1976,"CA-1976",,
"CA",1977,"CA-1977",,33.7
"CA",1978,"CA-1978",,
"CA",1979,"CA-1979",,33.5
"CA",1980,"CA-1980",,
"CA",1981,"CA-1981",,33
"CA",1982,"CA-1982",-3.19,32.9
"CA",1983,"CA-1983",2.6,
"CA",1984,"CA-1984",5.91,33.5
"CA",1985,"CA-1985",4.74,33.2
"CA",1986,"CA-1986",2.14,31.7
"CA",1987,"CA-1987",4.07,31.7
"CA",1988,"CA-1988",4.41,31.2
"CA",1989,"CA-1989",2.32,31
"CA",1990,"CA-1990",0.16,31.4
"CA",1991,"CA-1991",-2.09,32
"CA",1992,"CA-1992",0.9,31.6
"CA",1993,"CA-1993",2.66,31.7
"CA",1994,"CA-1994",4.49,31.3
"CA",1995,"CA-1995",2.69,31.5
"CA",1996,"CA-1996",1.62,32.8
"CA",1997,"CA-1997",4.28,33.1
"CA",1998,"CA-1998",3.9,33.2
"CA",1999,"CA-1999",5.16,33.1
"CA",2000,"CA-2000",5.18,33.4
"CA",2001,"CA-2001",1.79,33.6
"CA",2002,"CA-2002",3.02,33.6
"CA",2003,"CA-2003",1.8,33.8
"CA",2004,"CA-2004",3.09,33.8
"CA",2005,"CA-2005",3.2,33.6
"CA",2006,"CA-2006",2.63,34.1
"CA",2007,"CA-2007",2.07,33.8
"CA",2008,"CA-2008",1,33.9
"CA",2009,"CA-2009",-2.93,34
"CA",2010,"CA-2010",3.09,33.6
"CA",2011,"CA-2011",3.15,32.7
"CA",2012,"CA-2012",1.76,33.5
"CA",2013,"CA-2013",2.33,33.8
"CA",2014,"CA-2014",2.87,33.2
"CA",2015,"CA-2015",0.66,33.7
"CA",2016,"CA-2016",1,32.7
"CA",2017,"CA-2017",3.04,33.3
"CA",2018,"CA-2018",2.78,32.5
"CA",2019,"CA-2019",1.89,31.7
"CA",2020,"CA-2020",-5.07,
"CA",2021,"CA-2021",5.01,
"CL",1960,"CL-1960",,
"CL",1961,"CL-1961",5.25,
"CL",1962,"CL-1962",4.03,
"CL",1963,"CL-1963",5.84,
